"ID","pro_cod","pro_nom","pro_ben"
"[874114,1686770542]","p1","Actualización del Sistema",200
"[874114,1686772442]","p2","Copia de Seguridad de Archivos",150
"[874114,1686773848]","p3","Indexación de Archivos",120
"[874114,1686778825]","p4","Análisis de Antivirus",180
"[874114,1686783194]","p5","Sincronización de Datos en la Nube",250
"[874114,1686784164]","p6","Renderización de Imágenes",300
"[874114,1686787039]","p7","Compilación de Código",400
"[874114,1686789003]","p8","Descarga de Archivos Grandes",100
"[874114,1686790528]","p9","Instalación de Software",220
"[874114,1686792408]","p10","Proceso de Monitorización del Sistema",170
